language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,shortName,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,financialCurrency,regularMarketOpen,corporateActions,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,trailingAnnualDividendRate,trailingAnnualDividendYield,marketState,bookValue,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,ipoExpectedDate,esgPopulated,tradeable,cryptoTradeable,hasPrePostMarketData,priceHint,regularMarketChangePercent,displayName,symbol,epsTrailingTwelveMonths,prevName,nameChangeDate,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekChangePercent,sharesOutstanding,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,firstTradeDateMilliseconds,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,isEarningsDateEstimate,epsForward,epsCurrentYear,priceEpsCurrentYear,forwardPE,averageAnalystRating,earningsCallTimestampStart,earningsCallTimestampEnd,trailingPE,dividendDate,dividendRate,dividendYield,netExpenseRatio
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,23.7,2.22,Evaxion Biotech A/S,0.8709998,1738684089,3.271,4.05,3.25 - 4.05,3.25,56699430,2.4,3.19,3.7,1.0,1.0,us_market,finmb_319014926,NasdaqCM,Evaxion Biotech A/S,USD,3.88,[],1.0509999,0.47342336,2.22 - 23.7,-20.429,-0.8619831,0.0,0.0,REGULAR,0.013,251.61537,15,0,America/New_York,EST,-18000000,2021-02-05,False,False,False,True,4,36.22826,,EVAX,-14.0,,,1259102.0,7049080.0,-89.33333,6266570.0,5.19698,-1.9259801,-0.37059602,12.972495,-9.701495,-0.74785113,20497950.0,1612535400000.0,,1742905800.0,1743424200.0,True,-1.26,-0.75,-4.3613334,-2.5960317,1.5 - Strong Buy,1730377800.0,1730377800.0,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,6.18,0.281,"Quoin Pharmaceuticals, Ltd.",0.109700024,1738684089,0.4047,0.4469,0.3205 - 0.4469,0.3205,13158553,0.295,0.3524,0.4248,1.0,1.0,us_market,finmb_593010770,NasdaqCM,"Quoin Pharmaceuticals, Ltd.",USD,0.3297,[],0.12370002,0.44021362,0.281 - 6.18,-5.7753,-0.9345146,0.0,0.0,REGULAR,5.737,0.0705421,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,37.199062,Quoin Pharmaceuticals,QNRX,-3.66,,,2604311.0,7894800.0,-91.074135,8187500.0,0.59092,-0.18621996,-0.31513566,0.63593,-0.23122999,-0.3636092,3313481.0,1470058200000.0,1730984401.0,1741690740.0,1742212800.0,True,-1.21,-2.05,-0.19741465,-0.33446282,1.5 - Strong Buy,1710419400.0,1710419400.0,,1571788800.0,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NGM,0.0299,0.0299,ClimateRock Warrant,0.0089,1738270800,0.0299,0.0299,0.0299 - 0.0299,0.0299,20,0.021,0.0,0.0,0.0,0.0,us_market,finmb_1765408411,NasdaqGM,ClimateRock,USD,0.0299,[],0.0,0.0,0.0299 - 0.0299,0.0,0.0,0.0,0.0,REGULAR,-1.197,-0.024979113,15,0,America/New_York,EST,-18000000,2022-06-02,False,False,False,True,4,42.38095,,CLRCW,-0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NMS,0.0785,0.0785,"Aeva Technologies, Inc. Warrant",0.023500003,1738616400,0.0785,0.0785,0.0785 - 0.0785,0.0785,11334,0.055,,,,,us_market,finmb_418324431,NasdaqGS,"Aeva Technologies, Inc.",USD,0.0785,[],0.0,0.0,0.0785 - 0.0785,0.0,0.0,0.0,0.0,REGULAR,2.401,0.032694712,15,0,America/New_York,EST,-18000000,2025-01-28,False,False,False,True,4,42.72728,Aeva,AEVAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.05,0.05,,0.015000001,1738011600,0.05,0.05,0.05 - 0.05,0.05,23,0.035,,,,,us_market,finmb_323344854,NasdaqCM,"Abpro Holdings, Inc.",USD,0.0625,[],0.0,0.0,0.05 - 0.05,0.0,0.0,0.0,0.0,REGULAR,-9.241,-0.00541067,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,42.857143,Abpro,ABPWW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NGM,0.21,0.21,Charlton Aria Acquisition Corpo,0.064899996,1738683458,0.21,0.21,0.21 - 0.21,0.21,860,0.1451,,0.15,,11.0,us_market,finmb_1889402987,NasdaqGM,Charlton Aria Acquisition Corporation,,0.21,[],0.0,0.0,0.21 - 0.21,0.0,0.0,0.0,0.0,REGULAR,0.007,29.999998,15,0,America/New_York,EST,-18000000,2024-11-26,False,False,False,True,4,44.72777,Charlton Aria,CHARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.61,0.61,"bioAffinity Technologies, Inc. ",0.1897,1738357200,0.61,0.61,0.61 - 0.61,0.61,2,0.4203,0.0,0.0,0.0,0.0,us_market,finmb_423045573,NasdaqCM,"bioAffinity Technologies, Inc.",USD,0.6,[],0.0,0.0,0.61 - 0.61,0.0,0.0,0.0,0.0,REGULAR,0.517,1.179884,15,0,America/New_York,EST,-18000000,2022-06-28,False,False,False,True,4,45.13443,bioAffinity,BIAFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.0669,0.0669,Vast Renewables Limited Warrant,0.0209,1738616400,0.0669,0.0669,0.0669 - 0.0669,0.0669,60,0.046,0.0,0.0,0.0,0.0,us_market,finmb_365690123,NasdaqCM,Vast Renewables Limited,USD,0.055,[],0.0,0.0,0.0669 - 0.0669,0.0,0.0,0.0,0.0,REGULAR,-0.277,-0.24151623,15,0,America/New_York,EST,-18000000,2023-12-19,False,False,False,True,4,45.43478,Vast Renewables,VSTEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.037,0.037,NorthView Acquisition Corporati,0.012,1738166486,0.037,0.037,0.037 - 0.037,0.037,100,0.025,0.038,0.095,0.0,0.0,us_market,finmb_718844817,NasdaqCM,NorthView Acquisition Corporation,USD,0.037,[],0.0,0.0,0.037 - 0.037,0.0,0.0,0.0,0.0,REGULAR,-0.574,-0.06445993,15,0,America/New_York,EST,-18000000,2022-01-24,False,False,False,True,4,48.0,NorthView,NVACW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.0762,0.0762,,0.0251,1738357200,0.0762,0.0762,0.0762 - 0.0762,0.0762,100,0.0511,0.0,0.0,0.0,0.0,us_market,finmb_1802952199,NasdaqCM,"Estrella Immunopharma, Inc.",USD,0.052,[],0.0,0.0,0.0762 - 0.0762,0.0,0.0,0.0,0.0,REGULAR,-2.89,-0.026366781,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,49.119373,Estrella Immunopharma,ESLAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NGM,0.0332,0.0332,Australian Oilseeds Holdings Li,0.011,1738616400,0.0332,0.0332,0.0332 - 0.0332,0.0332,2100,0.0222,0.0,0.0,0.0,0.0,us_market,finmb_1817998038,NasdaqGM,Australian Oilseeds Holdings Limited,,0.0332,[],0.0,0.0,0.0332 - 0.0332,0.0,0.0,0.0,0.0,REGULAR,,,15,0,America/New_York,EST,-18000000,2024-03-22,False,False,False,True,4,49.549553,Australian Oilseeds,COOTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,ASE,38.1,0.233,Azitra Inc,0.13930002,1738684088,0.4178,0.5878,0.4026 - 0.5878,0.4026,195265875,0.2785,0.4201,0.4211,30.0,9.0,us_market,finmb_404021170,NYSE American,"Azitra, Inc.",USD,0.525,[],0.18480001,0.79313314,0.233 - 38.1,-37.682198,-0.9890341,0.0,0.0,REGULAR,1.057,0.39526963,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,50.05391,Azitra,AZTR,-111.24,Azitra Inc,2025-02-03,1690335.0,3747720.0,-98.98913,12483800.0,0.40526,0.012540013,0.03094313,1.9929,-1.5751,-0.79035574,5215732.0,1686922200000.0,,,,,-0.52,,,-0.8034616,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NGM,50.92,19.151,Direxion Daily PLTR Bull 2X Sha,16.939999,1738684087,49.93,50.92,46.0 - 50.92,46.0,1535432,32.99,49.83,49.98,1.0,1.0,us_market,finmb_1901306127,NasdaqGM,Direxion Daily PLTR Bull 2X Shares,,47.3,[],30.779001,1.6071748,19.151 - 50.92,-0.98999786,-0.019442221,0.0,0.0,REGULAR,,,15,0,America/New_York,EST,-18000000,2024-12-11,False,False,False,True,2,51.34889,,PLTU,0.48319545,,,616388.0,950310.0,25.867987,,27.580172,22.349829,0.8103586,27.580172,22.349829,0.8103586,,1733927400000.0,,,,,,,,,,,,103.332924,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NGM,0.045,0.006,,0.0069999993,1738679401,0.02,0.02,0.02 - 0.02,0.02,3243,0.013,0.0,0.0,0.0,0.0,us_market,finmb_127475469,NasdaqGM,Inspirato Incorporated,USD,0.02,[],0.0139999995,2.3333333,0.006 - 0.045,-0.025000002,-0.5555556,0.0,0.0,REGULAR,-13.387,-0.0014939867,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,53.846146,Thayer Ventures,ISPOW,-19.054,Thayer Ventures Acquisition Corporation,2025-02-03,41641.0,39840.0,5.8823586,,0.0149,0.0050999997,0.34228188,0.01454,0.0054599997,0.3755158,,1612881000000.0,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,70.85,2.7,Quantum Biopharma Ltd.,1.7239997,1738684089,4.904,6.1196,4.76 - 6.1196,4.76,39962402,3.18,4.53,4.93,5.0,1.0,us_market,finmb_266208867,NasdaqCM,Quantum Corporation,USD,5.76,[],2.2039998,0.8162962,2.7 - 70.85,-65.946,-0.93078333,0.0,0.0,REGULAR,17.748,0.27631283,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,54.201897,Quantum BioPharma,QNTM,-13.19,FSD Pharma Inc.,2025-02-03,114011.0,42150.0,-94.12688,1919400.0,3.8856,1.0183997,0.26209587,9.145655,-4.241655,-0.4637891,9412737.0,1528464600000.0,1731358800.0,1743019200.0,1743451200.0,True,-7.8,,,-0.6287179,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.06,0.06,Oak Woods Acquisition Corporati,0.0222,1738681506,0.06,0.06,0.06 - 0.06,0.06,340,0.0378,0.0,0.0,0.0,0.0,us_market,finmb_1826509091,NasdaqCM,Oak Woods Acquisition Corporation,USD,0.06,[],0.0,0.0,0.06 - 0.06,0.0,0.0,0.0,0.0,REGULAR,7.75,0.007741935,15,0,America/New_York,EST,-18000000,2023-05-19,False,False,False,True,4,58.73016,Oak Woods,OAKUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.039,0.0184,Captivision Inc. Warrant,0.016600002,1738684054,0.0351,0.039,0.0184 - 0.039,0.0184,553121,0.0185,0.0,0.0,0.0,0.0,us_market,finmb_1821495442,NasdaqCM,Captivision Inc.,USD,0.0184,[],0.016700001,0.90760875,0.0184 - 0.039,-0.003899999,-0.09999997,0.0,0.0,REGULAR,-1.765,-0.019886687,15,0,America/New_York,EST,-18000000,2023-11-16,False,False,False,True,4,98.80955,Captivision,CAPTW,,"GLAAM CO.,LTD.",2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.06,0.0401,Hub Cyber Security Ltd. Warrant,0.0196,1738683843,0.0498,0.06,0.0401 - 0.06,0.0401,226952,0.0302,0.0,0.0,0.0,0.0,us_market,finmb_667033420,NasdaqCM,HUB Cyber Security Ltd.,USD,0.0599,[],0.0097,0.24189526,0.0401 - 0.06,-0.010199998,-0.16999996,0.0,0.0,REGULAR,-4.547,-0.010952276,15,0,America/New_York,EST,-18000000,2023-03-01,False,False,False,True,4,64.900665,HUB Cyber Security,HUBCW,,HUB Security,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.0046,0.0021,,0.0012,1738270800,0.003,0.0046,0.0021 - 0.0046,0.0021,63007,0.0018,0.0,0.0,0.0,0.0,us_market,finmb_691308963,NasdaqCM,Hyzon Motors Inc.,USD,0.0021,[],0.0009000001,0.4285715,0.0021 - 0.0046,-0.0016000001,-0.3478261,0.0,0.0,REGULAR,26.662,0.00011251969,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,66.6667,Hyzon Motors,HYZNW,-0.266,HYZON Motors Inc,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.001,0.001,Glory Star New Media Group Hold,0.00040000002,1738679400,0.001,0.001,0.001 - 0.001,0.001,1000,0.0006,0.0,0.0,0.0,0.0,us_market,finmb_636228398,NasdaqCM,"Cheer Holding, Inc.",USD,0.001,[],0.0,0.0,0.001 - 0.001,0.0,0.0,0.0,0.0,REGULAR,27.769,3.601138e-05,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,66.66667,Cheer Holding,GSMGW,0.54,Glory Star New Media Group Holdings Limited,2025-02-03,,,,,,,,,,,,,,1589227200.0,1589227200.0,,,,,,,,,0.0018518518,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.0473,0.0271,Clene Inc.,0.020099998,1738681279,0.047,0.0473,0.0271 - 0.0473,0.0271,8031,0.0269,0.0,0.0,0.0,0.0,us_market,finmb_339429732,NasdaqCM,Clene Inc.,USD,0.0271,[],0.019899998,0.73431724,0.0271 - 0.0473,-0.00030000135,-0.0063425233,0.0,0.0,REGULAR,2.085,0.022541964,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,74.721176,Clene,CLNNW,,Clene Nanomedicine Inc.,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.1999,0.128,Bannix Acquisition Corp.,0.060000002,1738684011,0.1999,0.1999,0.128 - 0.1999,0.128,9788,0.1399,0.0,0.0,0.0,0.0,us_market,finmb_704996888,NasdaqCM,Bannix Acquisition Corp.,USD,0.14,[],0.071899995,0.5617187,0.128 - 0.1999,0.0,0.0,0.0,0.0,REGULAR,-0.669,-0.29880416,15,0,America/New_York,EST,-18000000,2021-10-28,False,False,False,True,4,75.94937,Bannix,BNIXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,2792.0,3.18,"Volcon, Inc.",3.9900002,1738684089,7.36,10.1,5.2701 - 10.1,5.2701,34051392,3.37,6.17,8.98,2.0,6.0,us_market,finmb_693048896,NasdaqCM,"Volcon, Inc.",USD,5.66,[],4.1800003,1.3144655,3.18 - 2792.0,-2784.64,-0.99736387,0.0,0.0,REGULAR,7.69,0.95708716,15,0,America/New_York,EST,-18000000,2021-10-06,False,False,False,True,2,118.39764,Volcon,VLCN,-66.45,,,45356.0,23230.0,-99.87828,560902.0,4.05608,3.3039203,0.81455994,45.9876,-38.627598,-0.8399568,4128238.0,1633527000000.0,,,,,-238.5,,,-0.03085954,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NGM,7.919,0.37,Captivision Inc.,0.8111,1738684089,1.2501,1.38,0.45 - 1.38,0.45,76743649,0.439,1.22,1.37,22.0,25.0,us_market,finmb_1821495442,NasdaqGM,Captivision Inc.,USD,0.45,[],0.8801,2.3786488,0.37 - 7.919,-6.6689,-0.8421391,0.0,0.0,REGULAR,-1.765,-0.708272,15,0,America/New_York,EST,-18000000,2023-11-16,False,False,False,True,4,184.76082,Captivision,CAPT,-2.92,"GLAAM CO.,LTD.",2025-02-03,269618.0,245750.0,-93.73752,32670600.0,0.68822,0.56188,0.81642497,2.236655,-0.986555,-0.441085,40841516.0,1649079000000.0,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.3678,0.16,"Kindly MD, Inc. Warrants",0.2378,1738682671,0.3678,0.3678,0.16 - 0.3678,0.16,4210,0.13,0.3,0.3999,4.0,4.0,us_market,finmb_1800639554,NasdaqCM,"Kindly MD, Inc.",USD,0.16,[],0.2078,1.29875,0.16 - 0.3678,0.0,0.0,0.0,0.0,REGULAR,0.583,0.63087475,15,0,America/New_York,EST,-18000000,2024-05-31,False,False,False,True,4,182.9231,Kindly MD,KDLYW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,USD,BTS,123.53,123.134,Stone Ridge Trust Stone Ridge 2,112.0551,1738352655,123.2801,123.2801,123.2801 - 123.2801,123.2801,1,11.225,122.76,123.54,,11.0,us_market,finmb_1903435046,Cboe US,,,11.2099,[],0.14609528,0.0011864739,123.134 - 123.53,-0.24990082,-0.002022997,,,REGULAR,,,15,0,America/New_York,EST,-18000000,,False,False,False,True,2,998.2638,,LDER,,,,325.0,325.0,-0.1134336,,123.29034,-0.010238647,-8.3045015e-05,123.29034,-0.010238647,-8.3045015e-05,,1737988200000.0,,,,,,,,,,,,,,,,0.25
en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,USD,BTS,148.5,147.994,Stone Ridge Trust Stone Ridge 2,135.0233,1738010018,148.4084,148.4084,148.4084 - 148.4084,148.4084,1,13.3851,147.64,148.58,11.0,11.0,us_market,finmb_1903435045,Cboe US,,,13.5,[],0.4143982,0.0028001012,147.994 - 148.5,-0.09159851,-0.000616825,,,REGULAR,,,15,0,America/New_York,EST,-18000000,,False,False,False,True,2,1008.7582,,LDRR,,,,316.0,316.0,0.049209595,,148.25917,0.14923096,0.0010065547,148.25917,0.14923096,0.0010065547,,1737988200000.0,,,,,,,,,,,,,,,,0.25
