,RSI_Buy,RSI_Sell,MACD_Buy,MACD_Sell,ATR_Buy,ATR_Sell,Volume_Buy,Volume_Sell,Stoch_K_Buy,Stoch_K_Sell,Stoch_D_Buy,Stoch_D_Sell,Profit
count,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0
mean,48.02791892075337,66.16476271181199,-0.006099165686210267,0.11157028112166918,0.1435551377619688,0.12403245214683108,69226.44699140401,71768.47851002865,40.306279585725505,82.20318436938253,42.62330736374019,78.80671645188289,1.1931670302135555
std,15.172172605395579,8.435338785983355,0.17769820887260124,0.2632100233992489,0.24518021113554106,0.22088254478516647,348597.87386945565,396944.72962810175,25.581345687537905,16.76667004885871,24.97038729146792,19.337476852113433,2.281868721312849
min,7.60542351089446,31.396523382383556,-1.6981894934775426,-0.6823981764019535,0.001200348276047758,0.0006993779116201165,0.0,0.0,-3.315866100213801e-14,5.92715166875864,0.2525307258560233,6.5373206518255165,0.008000001311302185
25%,38.090011282382974,61.05662616994797,-0.02298339596241228,0.010670222695699838,0.02047074137609191,0.019540860324519745,1538.5,2364.25,18.29865163847172,77.77795438289748,20.95692537748515,72.18630259829143,0.14967501163482666
50%,46.275719644489044,66.04301854863594,-0.00029806851747349317,0.039540823914603784,0.054924158730588236,0.04901698153208214,5730.0,9424.0,36.73563309490771,87.03300443967565,41.01341370118077,85.45893004807714,0.43499982357025146
75%,57.14232010543565,71.30909228889303,0.01966168609617247,0.11769852369993661,0.15480420668051317,0.13277510527513536,23378.5,34444.0,60.28504765868664,93.51126616290956,61.37087004277737,92.56354297798272,1.2875003814697266
max,95.85088338193012,96.94126520419559,1.4861839123821596,3.763447680881228,2.2731890855206607,2.062731408629299,7282697.0,8557530.0,100.00000000000004,100.00000000000004,98.94127007204945,100.00000000000004,20.029998779296875
