Date,Buy Time,Buy Price,Sell Time,Sell Price,Profit,RSI_Buy,RSI_Sell,MACD_Buy,MACD_Sell,ATR_Buy,ATR_Sell,Volume_Buy,Volume_Sell,Stoch_K_Buy,Stoch_K_Sell,Stoch_D_Buy,Stoch_D_Sell,UpperBand_Buy,MiddleBand_Buy,LowerBand_Buy,UpperBand_Sell,MiddleBand_Sell,LowerBand_Sell,Symbol
2025-02-03,2025-02-03 10:15:00-05:00,1.7350000143051147,2025-02-03 10:20:00-05:00,1.7699999809265137,0.034999966621398926,,,,,,,0,11,,,,,,,,,,,SYT
2025-02-04,2025-02-04 09:30:00-05:00,1.7799999713897705,2025-02-04 15:50:00-05:00,1.809999942779541,0.029999971389770508,,,,,,,560,522,,,,,,,,,,,SYT
2025-02-07,2025-02-07 10:30:00-05:00,1.7134000062942505,2025-02-07 14:55:00-05:00,1.809999942779541,0.09659993648529053,45.90417386824422,60.33096034451768,,,0.021968757825687874,0.02729955630137378,647,277,18.318293950914573,30.206346046748802,22.733810488666563,23.38207609775898,1.8119711222860986,1.7588349997997283,1.7056988773133581,1.8189511792722741,1.7625849962234497,1.7062188131746252,SYT
2025-02-03,2025-02-03 09:30:00-05:00,12.619999885559082,2025-02-03 14:40:00-05:00,12.800000190734863,0.18000030517578125,,68.41546071671961,,0.015986183973144108,,0.011716804262755188,0,101,,99.99999999999996,,99.99999999999994,,,,12.79569910198448,12.75920000076294,12.7227008995414,NKX
2025-02-04,2025-02-04 10:05:00-05:00,12.75,2025-02-04 14:10:00-05:00,12.84000015258789,0.09000015258789062,45.29620406272837,63.562276559918985,0.009004375608324011,0.01189304107283995,0.01564709182559975,0.01370386415897577,283,2011,41.646882708715815,78.31144459753034,60.27631324153992,72.5567637502421,12.810279432196717,12.777199983596802,12.744120534996886,12.838145179013484,12.801205015182495,12.764264851351506,NKX
2025-02-05,2025-02-05 09:30:00-05:00,12.829999923706055,2025-02-05 13:15:00-05:00,12.9399995803833,0.1099996566772461,59.95435526949887,72.43950110605508,0.011228108902894718,0.0226005629097763,0.014668161807493935,0.009276894235465028,0,1450,77.77707134607023,99.99999999999989,85.18471423071342,99.99999999999984,12.853871679643396,12.826040077209473,12.798208474775551,12.948810451524333,12.908435010910035,12.868059570295737,NKX
2025-02-03,2025-02-03 09:30:00-05:00,24.110000610351562,2025-02-03 10:40:00-05:00,25.175899505615234,1.0658988952636719,,68.4046515163031,,,,0.1596215111868722,17329,3955,,,,,,,,,,,VECO
2025-02-04,2025-02-04 09:35:00-05:00,24.899999618530273,2025-02-04 12:00:00-05:00,25.46500015258789,0.5650005340576172,46.08422832525687,68.2596640587353,0.031450699981562025,0.0765045099222057,0.07222574011579198,0.05194386382160441,3036,4545,54.99522854305716,90.35932022665945,57.228301421956765,91.91514088963645,25.11136521326116,25.028979969024657,24.946594724788156,25.471852728235834,25.323250007629394,25.174647287022953,VECO
2025-02-05,2025-02-05 09:40:00-05:00,25.049999237060547,2025-02-05 15:15:00-05:00,26.110000610351562,1.0600013732910156,46.392445907719484,67.01419881794551,-0.01366659088466804,0.0716922914430107,0.08298820038013434,0.048593261574393476,6919,5199,34.81804856979185,90.67200396982362,43.21239750486345,87.62501189205626,25.487563344173775,25.352749729156493,25.21793611413921,26.069703406790698,25.892875003814698,25.7160466008387,VECO
2025-02-04,2025-02-04 09:30:00-05:00,5.400000095367432,2025-02-04 11:55:00-05:00,5.449999809265137,0.04999971389770508,38.89371874212644,67.42843547484549,-0.006099234405775533,0.007419876138560433,0.006642797180828562,0.00704793356945614,7068,100,31.64390004337314,89.8249696414834,25.886652859505265,85.38044042631198,5.419921181476864,5.407915043830871,5.395908906184879,5.453757109583129,5.433383417129517,5.413009724675905,MFM
2025-02-06,2025-02-06 09:45:00-05:00,5.5,2025-02-06 14:20:00-05:00,5.534999847412109,0.034999847412109375,68.36515621798539,58.39207536912572,0.0025169917329828095,0.0035651181946185773,0.004405728964175473,0.004445054566528954,1267,1663,75.65889938333366,91.66726271368286,63.88882483386006,97.22242090456099,5.499263558525595,5.491694855690002,5.48412615285441,5.537120040485726,5.52375009059906,5.510380140712395,MFM
2025-02-03,2025-02-03 09:40:00-05:00,6.360000133514404,2025-02-03 14:40:00-05:00,6.420000076293945,0.059999942779541016,,49.60515824457208,,0.0033658750035225893,,0.009699632133135766,1294,10198,,38.10682948098745,,57.93970633599695,,,,6.404772106352038,6.393354964256287,6.381937822160536,MCR
2025-02-05,2025-02-05 10:10:00-05:00,6.418600082397461,2025-02-05 15:15:00-05:00,6.46999979019165,0.05139970779418945,49.86332562575668,55.781595235664206,0.003460832621243526,0.005029258661825686,0.00906026053740315,0.011512177113213019,222,3403,71.91632092414942,69.33341810534034,77.515576665144,78.22234937999697,6.435070876937491,6.4221049547195435,6.409139032501596,6.460578956106867,6.440259885787964,6.419940815469061,MCR
2025-02-03,2025-02-03 09:35:00-05:00,0.35109999775886536,2025-02-03 12:20:00-05:00,0.4099999964237213,0.05889999866485596,,,,,,,626,0,,,,,,,,,,,KLTO
2025-02-05,2025-02-05 10:50:00-05:00,0.36000001430511475,2025-02-05 15:55:00-05:00,0.39899998903274536,0.038999974727630615,41.81775103447867,58.33629612126722,-0.0017368387745593794,0.00024087273365941408,0.011162931515278415,0.010528186918501591,537,446,11.913358824892233,34.83870223459605,33.102296167639565,45.949813345707156,0.401735325052469,0.38289500325918197,0.3640546814658949,0.395340822703087,0.3765249982476234,0.35770917379215983,KLTO
